Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:2jc8QhIjPjWi4ttbtzWTeT,4ad89e5b9e954a30b70342f39fb86a85,2025-11-12T14:10:17Z,1,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:2u2McJSgHM5iHyOLSwWySb,4ad89e5b9e954a30b70342f39fb86a85,2025-11-12T14:10:17Z,1,i forgot this existed and it hit me in the nostalgias,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:5TcC0l6Kadx20qROIz44ry,4ad89e5b9e954a30b70342f39fb86a85,2025-11-12T14:10:17Z,3,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:7GBP9vqKB9o9wcQrkblICD,4ad89e5b9e954a30b70342f39fb86a85,2025-11-12T14:10:17Z,1,ive heard it a million times but honestly my kid was named after aerith so i cant not give a point to the sephiroth theme music,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:2u2McJSgHM5iHyOLSwWySb,c1464401e87d41beaf84bf2bf8164ce9,2025-11-12T18:31:29Z,1,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:5ia8VbDkfzWBjC6f3bOTt1,c1464401e87d41beaf84bf2bf8164ce9,2025-11-12T18:31:29Z,2,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:5qaLfqAUiqvsoL0l4T05Yx,c1464401e87d41beaf84bf2bf8164ce9,2025-11-12T18:31:29Z,2,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:7MI9MdnQLi6XUSSDOuHxZY,c1464401e87d41beaf84bf2bf8164ce9,2025-11-12T18:31:29Z,1,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:2jc8QhIjPjWi4ttbtzWTeT,bf719d27a6cb439ca8b18ff0ed0d13be,2025-11-12T20:02:35Z,0,One way ticket to a foot up your ass....nice,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:2u2McJSgHM5iHyOLSwWySb,bf719d27a6cb439ca8b18ff0ed0d13be,2025-11-12T20:02:35Z,3,"<3 I cant believe I didnt think of this. I was looking at musicals and even the Buffy musical episode music and somehow I didnt think of dr horrible!? Take points bc im jealous you mighta picked a musical this group might actually give points to. 
(In case you're curious, I think i woulda gone ""slipping"" if I used same musical)",e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:4Je0R9mZ6gY7IjIkvxoq7r,bf719d27a6cb439ca8b18ff0ed0d13be,2025-11-12T20:02:35Z,1,Okay. Take a point. ,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:50P3NOtlB7fFimxWH8h5IM,bf719d27a6cb439ca8b18ff0ed0d13be,2025-11-12T20:02:35Z,0,"Like this song, but vibe not giving enough villain for me ",e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:6PNvv1dmDbOWrAYwEcuKBX,bf719d27a6cb439ca8b18ff0ed0d13be,2025-11-12T20:02:35Z,2,Almost used this!! One of those songs i sing along to and feel villainous. ,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:7GBP9vqKB9o9wcQrkblICD,bf719d27a6cb439ca8b18ff0ed0d13be,2025-11-12T20:02:35Z,0,Merely not pointing bc it was used for walk out music,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:7MI9MdnQLi6XUSSDOuHxZY,bf719d27a6cb439ca8b18ff0ed0d13be,2025-11-12T20:02:35Z,0,Honorable mention for creepy cover. Got some Leonard Cohen vibes ,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:2jc8QhIjPjWi4ttbtzWTeT,d9df39ebaa4148dcad17d8311666f155,2025-11-13T22:10:48Z,1,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:4Je0R9mZ6gY7IjIkvxoq7r,d9df39ebaa4148dcad17d8311666f155,2025-11-13T22:10:48Z,1,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:5ia8VbDkfzWBjC6f3bOTt1,d9df39ebaa4148dcad17d8311666f155,2025-11-13T22:10:48Z,1,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:5qaLfqAUiqvsoL0l4T05Yx,d9df39ebaa4148dcad17d8311666f155,2025-11-13T22:10:48Z,1,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:5TcC0l6Kadx20qROIz44ry,d9df39ebaa4148dcad17d8311666f155,2025-11-13T22:10:48Z,1,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:6PNvv1dmDbOWrAYwEcuKBX,d9df39ebaa4148dcad17d8311666f155,2025-11-13T22:10:48Z,1,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:4Je0R9mZ6gY7IjIkvxoq7r,4bef5cf5b9314383b6c61a18935d5f4d,2025-11-14T01:53:18Z,1,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:5qaLfqAUiqvsoL0l4T05Yx,4bef5cf5b9314383b6c61a18935d5f4d,2025-11-14T01:53:18Z,2,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:5TcC0l6Kadx20qROIz44ry,4bef5cf5b9314383b6c61a18935d5f4d,2025-11-14T01:53:18Z,3,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:5TcC0l6Kadx20qROIz44ry,2e30f2794fbd48b09ff2e9d38ecc851d,2025-11-14T08:03:43Z,3,This song was dirrrrty,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:7GBP9vqKB9o9wcQrkblICD,2e30f2794fbd48b09ff2e9d38ecc851d,2025-11-14T08:03:43Z,1,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:7MI9MdnQLi6XUSSDOuHxZY,2e30f2794fbd48b09ff2e9d38ecc851d,2025-11-14T08:03:43Z,2,This goes pretty hard,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:2jc8QhIjPjWi4ttbtzWTeT,ab24c78104ff4746a452998ff54bc542,2025-11-14T14:51:56Z,2,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:4Je0R9mZ6gY7IjIkvxoq7r,ab24c78104ff4746a452998ff54bc542,2025-11-14T14:51:56Z,1,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:5ia8VbDkfzWBjC6f3bOTt1,ab24c78104ff4746a452998ff54bc542,2025-11-14T14:51:56Z,3,,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:2jc8QhIjPjWi4ttbtzWTeT,f150238d20e64ce881808ef1e9bcd177,2025-11-14T16:26:28Z,0,"this is a jam, gotta check out Lakeview",e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:2u2McJSgHM5iHyOLSwWySb,f150238d20e64ce881808ef1e9bcd177,2025-11-14T16:26:28Z,0,the writers went on strike so they could make this musical,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:4Je0R9mZ6gY7IjIkvxoq7r,f150238d20e64ce881808ef1e9bcd177,2025-11-14T16:26:28Z,1,season 1 was better,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:50P3NOtlB7fFimxWH8h5IM,f150238d20e64ce881808ef1e9bcd177,2025-11-14T16:26:28Z,0,🍹,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:5ia8VbDkfzWBjC6f3bOTt1,f150238d20e64ce881808ef1e9bcd177,2025-11-14T16:26:28Z,1,this is too on-prompt to skip,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:5qaLfqAUiqvsoL0l4T05Yx,f150238d20e64ce881808ef1e9bcd177,2025-11-14T16:26:28Z,0,"so haunting, honestly love it",e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:5TcC0l6Kadx20qROIz44ry,f150238d20e64ce881808ef1e9bcd177,2025-11-14T16:26:28Z,3,"rare power montage angle, and it's my favorite song here so take my points 😃",e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:6PNvv1dmDbOWrAYwEcuKBX,f150238d20e64ce881808ef1e9bcd177,2025-11-14T16:26:28Z,1,"I can't decide if she's actually remorseful or not; either way, definitely a villain",e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:7GBP9vqKB9o9wcQrkblICD,f150238d20e64ce881808ef1e9bcd177,2025-11-14T16:26:28Z,0,I think I heard this last league 🤔,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:7MI9MdnQLi6XUSSDOuHxZY,f150238d20e64ce881808ef1e9bcd177,2025-11-14T16:26:28Z,0,🌕🐺🐺,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:2jc8QhIjPjWi4ttbtzWTeT,8fc1dc71014e405da1c76d2fc096a6d6,2025-11-14T16:34:06Z,3,Yeah definitely my favorite song on this playlist ,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:2u2McJSgHM5iHyOLSwWySb,8fc1dc71014e405da1c76d2fc096a6d6,2025-11-14T16:34:06Z,0,Lol love Neil Patrick Harris but not a top 3 for me,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:4Je0R9mZ6gY7IjIkvxoq7r,8fc1dc71014e405da1c76d2fc096a6d6,2025-11-14T16:34:06Z,0,Good song but already in my regular rotation ,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:5ia8VbDkfzWBjC6f3bOTt1,8fc1dc71014e405da1c76d2fc096a6d6,2025-11-14T16:34:06Z,0,Love me some Joyner Lucas,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:5qaLfqAUiqvsoL0l4T05Yx,8fc1dc71014e405da1c76d2fc096a6d6,2025-11-14T16:34:06Z,0,Decent song but not in my top 3 this week,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:5TcC0l6Kadx20qROIz44ry,8fc1dc71014e405da1c76d2fc096a6d6,2025-11-14T16:34:06Z,1,"Yea I enjoyed this beat, top 3 for me, enjoy a point",e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:6PNvv1dmDbOWrAYwEcuKBX,8fc1dc71014e405da1c76d2fc096a6d6,2025-11-14T16:34:06Z,0,Yeah I enjoyed the song and probably adding to the rotation but not top 3,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:7GBP9vqKB9o9wcQrkblICD,8fc1dc71014e405da1c76d2fc096a6d6,2025-11-14T16:34:06Z,0,Epic orchestral and fun but not really my vibe here,e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:7MI9MdnQLi6XUSSDOuHxZY,8fc1dc71014e405da1c76d2fc096a6d6,2025-11-14T16:34:06Z,2,"Yeah this is a total random hit, for a TV series intro it’s a banger. ",e19ade9ce68c4d04933d7bc27c2d9355
spotify:track:3JOVTQ5h8HGFnDdp4VT3MP,ab24c78104ff4746a452998ff54bc542,2025-11-17T20:19:46Z,3,,eb53d0409a2d4e5b82d387114aa7a74c
spotify:track:72X5bmQUJ9bCDDFqFszNy2,ab24c78104ff4746a452998ff54bc542,2025-11-17T20:19:46Z,2,,eb53d0409a2d4e5b82d387114aa7a74c
spotify:track:4oa14QBfWRDfJy2agySy0L,ab24c78104ff4746a452998ff54bc542,2025-11-17T20:19:46Z,1,,eb53d0409a2d4e5b82d387114aa7a74c
spotify:track:451GvHwY99NKV4zdKPRWmv,d9df39ebaa4148dcad17d8311666f155,2025-11-18T00:12:02Z,1,A happier version of gray lol,eb53d0409a2d4e5b82d387114aa7a74c
spotify:track:3JOVTQ5h8HGFnDdp4VT3MP,d9df39ebaa4148dcad17d8311666f155,2025-11-18T00:12:02Z,2,Probably the most classic for this. ,eb53d0409a2d4e5b82d387114aa7a74c
spotify:track:0Gg9krMVwwsTC3URfYb7Hc,d9df39ebaa4148dcad17d8311666f155,2025-11-18T00:12:02Z,2,Digging this ,eb53d0409a2d4e5b82d387114aa7a74c
spotify:track:72X5bmQUJ9bCDDFqFszNy2,d9df39ebaa4148dcad17d8311666f155,2025-11-18T00:12:02Z,0,Elevator jazz :p,eb53d0409a2d4e5b82d387114aa7a74c
spotify:track:4I1LbLy9xIFZ9sftxGSLDR,d9df39ebaa4148dcad17d8311666f155,2025-11-18T00:12:02Z,1,This is weird. But it's good,eb53d0409a2d4e5b82d387114aa7a74c
spotify:track:451GvHwY99NKV4zdKPRWmv,c1464401e87d41beaf84bf2bf8164ce9,2025-11-18T17:18:16Z,1,,eb53d0409a2d4e5b82d387114aa7a74c
spotify:track:1VNWaY3uNfoeWqb5U8x2QX,c1464401e87d41beaf84bf2bf8164ce9,2025-11-18T17:18:16Z,1,,eb53d0409a2d4e5b82d387114aa7a74c
spotify:track:3j1L9CzfOFiCqDy3gT2atT,c1464401e87d41beaf84bf2bf8164ce9,2025-11-18T17:18:16Z,2,"This was added to my ""liked songs"". ",eb53d0409a2d4e5b82d387114aa7a74c
spotify:track:4I1LbLy9xIFZ9sftxGSLDR,c1464401e87d41beaf84bf2bf8164ce9,2025-11-18T17:18:16Z,2,Fuck yeah. Wax tailor has been on a pretty standard rotation for years for me. ,eb53d0409a2d4e5b82d387114aa7a74c
spotify:track:0Gg9krMVwwsTC3URfYb7Hc,4ad89e5b9e954a30b70342f39fb86a85,2025-11-20T14:59:36Z,2,,eb53d0409a2d4e5b82d387114aa7a74c
spotify:track:3j1L9CzfOFiCqDy3gT2atT,4ad89e5b9e954a30b70342f39fb86a85,2025-11-20T14:59:36Z,3,,eb53d0409a2d4e5b82d387114aa7a74c
spotify:track:1VNWaY3uNfoeWqb5U8x2QX,4ad89e5b9e954a30b70342f39fb86a85,2025-11-20T14:59:36Z,1,,eb53d0409a2d4e5b82d387114aa7a74c
spotify:track:1VNWaY3uNfoeWqb5U8x2QX,e9ab942d00e14f5ba05b39991eb26919,2025-11-21T12:41:38Z,1,,eb53d0409a2d4e5b82d387114aa7a74c
